project;watchers;stargazers;subscribers;forks;is_forked
AnaelMobilia/NextINpact-Unofficial;9;9;3;2;false
yakimovim/vscode-check-npm-updates;9;9;2;3;false
Dmitriy-Vas/ts-discord-bot;9;9;2;4;false
dean2021/firehttp;9;9;1;4;false
bootcamped/Resources;9;9;0;2;false
njzjz/MDDatasetMaker;9;9;3;7;false
roncli/LibWowAPI;9;9;5;0;false
Airmanbzh/pheign;9;9;1;2;false
rhuanbarreto/alfresco-api-php-client;9;9;1;5;false
logzio/docker-collector-logs;9;9;7;9;false
maateen/nipy;9;9;3;5;false
fisker/fis3-plugins;9;9;1;1;false
robingall2910/RobTheBoat;9;9;5;14;false
PrideInLondon/pride-london-web;9;9;7;5;false
LightTable/user-guide;8;8;7;3;false
ever-co/ever-docs;8;8;2;3;false
ziadab/FaceRecognition;8;8;3;7;false
vtalbot/coffee;8;8;2;2;false
jmather/php.js;8;8;1;0;false
llaumgui/docker-images;8;8;1;8;false
awesome-inc/puppeteer-mocha;8;8;4;0;false
LightTable/townhall;8;8;5;0;false
asmeurer/sympy;8;8;2;2;true
scriptex/atanas.info;8;8;1;3;false
l3dlp/fullsize-ispconfig-theme;8;8;4;4;false
SuperSandro2000/docker-images;8;8;1;6;false
OSWeekends/Organizacion;8;8;9;6;false
xphyr/k8s_isi_provisioner;8;8;4;15;false
dean2021/java_security_book;8;8;1;2;false
vtalbot/laravel-mailgun;8;8;2;2;false
decal/pathgro;8;8;1;6;false
cube-soft/Cube.Net;8;8;2;3;false
hostettler/microservices;8;8;4;2;false
Hack23/sonar-cloudformation-plugin;8;8;1;1;false
TobyReeno/c2-addon-assistant;8;8;4;2;false
Merrick28/delain;8;8;5;9;false
Vettvangur/Canvas;8;8;11;1;false
glegoux/mdf;8;8;1;5;false
asfadmin/thin-egress-app;8;8;21;10;false
tlkh/fake-news-chrome-extension;8;8;3;5;false
logzio/logzio-es-health;8;8;66;4;false
logzio/logzio-azure-serverless;8;8;13;6;false
awesome-inc/docker-selks;8;8;5;4;false
gitizenme/SwiftKeyboardExtension;8;8;4;4;false
rurban/distroprefs;7;7;4;0;false
powerunit/powerunit;7;7;2;0;false
Dmitriy-Vas/List-Of-Solutions;7;7;0;1;false
mubaidr/selection-popup;7;7;2;1;false
learn-co-students/javascript-intro-to-functions-lab-bootcamp-prep-000;7;7;18;7147;false
d4nyll/hobnob;7;7;3;1;false
scepticulous/carna-ng;7;7;1;0;false
d4nyll/mermal;7;7;1;1;false
PedrV/SilverHeart;7;7;2;0;false
OSWeekends/welcome.osweekends.com;7;7;4;3;false
longnguyen2306/CLion-New-Entry-Point;7;7;0;2;false
laedit/new-tab-moment;7;7;1;4;false
uniquelyparticular/shopify-request;7;7;2;1;false
Dubzer/FluidNGPermissionGranter;7;7;1;0;false
pandermatt/tap-the-ball;7;7;1;0;false
TheDoctor0/openvas-docker-lite;7;7;3;8;false
dialogs/dialog-go-lib;7;7;9;1;false
maateen/django-vaultible;7;7;0;0;false
walles/flickr-uploader;7;7;2;2;false
decal/bounty-targets;7;7;3;7;false
Albermonte/nimiq-shortener;7;7;4;2;false
JohnDeere/DevelopWithDeereNotebooks;7;7;14;4;false
ikonovalov/mq-spring-jms;7;7;3;2;false
chrhsmt/ieiriPoster;7;7;1;3;false
mverteuil/barbara;7;7;1;1;false
mubaidr/Tab-Manager-opera;7;7;2;1;false
fritx/dapp;7;7;1;3;false
kpango/go-handson;7;7;1;2;false
worxcoin/worx;7;7;3;14;false
maateen/data-structure-practice;7;7;2;3;false
tlkh/rhh-2017-crowd-tracking;7;7;3;3;false
OSWeekends/arte-interactivo;7;7;10;2;false
HealthCatalyst/hcposh;7;7;9;0;false
BobDu/aes-sha1prng;6;6;1;2;false
